,p_nom,carrier,bus
DE0 8 offwind-ac,340.85,offwind-ac,DE0 8
DE0 F offwind-ac,2853.302,offwind-ac,DE0 F
DE0 8 offwind-dc,348.95,offwind-dc,DE0 8
DE0 F offwind-dc,2836.626,offwind-dc,DE0 F
DE0 1 onwind,1319.777443,onwind,DE0 1
DE0 2 onwind,1704.859655,onwind,DE0 2
DE0 4 onwind,5089.542015,onwind,DE0 4
DE0 7 onwind,2526.83205,onwind,DE0 7
DE0 8 onwind,3729.05395,onwind,DE0 8
DE0 9 onwind,8687.60835,onwind,DE0 9
DE0 A onwind,5378.60598,onwind,DE0 A
DE0 B onwind,3094.1163,onwind,DE0 B
DE0 C onwind,1072.6748,onwind,DE0 C
DE0 D onwind,2571.5524,onwind,DE0 D
DE0 E onwind,5231.21956,onwind,DE0 E
DE0 F onwind,9505.79967,onwind,DE0 F
DE0 G onwind,3095.26084,onwind,DE0 G
DE0 1 solar,6430.776956,solar,DE0 1
DE0 2 solar,11047.626924,solar,DE0 2
DE0 4 solar,2603.682807,solar,DE0 4
DE0 7 solar,3218.197802,solar,DE0 7
DE0 8 solar,1882.694553,solar,DE0 8
DE0 9 solar,4031.986236,solar,DE0 9
DE0 A solar,4696.873091,solar,DE0 A
DE0 B solar,1607.7712255,solar,DE0 B
DE0 C solar,962.981857,solar,DE0 C
DE0 D solar,2927.846702,solar,DE0 D
DE0 E solar,2975.958283,solar,DE0 E
DE0 F solar,2441.219884,solar,DE0 F
DE0 G solar,3077.424097,solar,DE0 G
