year,solar,onwind,offwind-ac,offwind-dc,battery,H2,electrolysis,fuel cell
2020,1,1,1,1,1,1,1,1
2021,0.983617514,0.987725673,0.968283768,0.968283768,0.940017994,0.972588099,0.972588099,0.972588099
2022,0.98360297,0.987846625,0.970555906,0.970555906,0.942137136,0.972347469,0.972347469,0.972347469
2023,0.98358618,0.987964912,0.972581725,0.972581725,0.944052139,0.972092805,0.972092805,0.972092805
2024,0.983567132,0.98808062,0.974396833,0.974396833,0.945788569,0.971823445,0.971823445,0.971823445
2025,0.98354581,0.98819383,0.976030449,0.976030449,0.947367788,0.971538671,0.971538671,0.971538671
2026,0.983522196,0.988304622,0.977506764,0.977506764,0.948807775,0.971237703,0.971237703,0.971237703
2027,0.98349627,0.988413072,0.978845967,0.978845967,0.950123764,0.970919691,0.970919691,0.970919691
2028,0.983468011,0.988519251,0.980065026,0.980065026,0.951328745,0.970583712,0.970583712,0.970583712
2029,0.983437395,0.988623229,0.981178301,0.981178301,0.952433853,0.970228757,0.970228757,0.970228757
2030,0.983404398,0.988725074,0.982198019,0.982198019,0.953448683,0.96985373,0.96985373,0.96985373
2031,0.98336899,0.988824848,0.98313465,0.98313465,0.954381542,0.969457429,0.969457429,0.969457429
2032,0.983331142,0.988922614,0.983997207,0.983997207,0.955239648,0.969038543,0.969038543,0.969038543
2033,0.983290822,0.98901843,0.984793489,0.984793489,0.9560293,0.968595634,0.968595634,0.968595634
2034,0.983247994,0.989112353,0.985530273,0.985530273,0.956756011,0.968127123,0.968127123,0.968127123
2035,0.983202622,0.989204438,0.986213474,0.986213474,0.95742462,0.967631276,0.967631276,0.967631276
2036,0.983154667,0.989294737,0.986848276,0.986848276,0.958039385,0.967106183,0.967106183,0.967106183
2037,0.983104085,0.9893833,0.98743924,0.98743924,0.95860406,0.966549734,0.966549734,0.966549734
2038,0.983050832,0.989470177,0.987990391,0.987990391,0.959121959,0.965959598,0.965959598,0.965959598
2039,0.982994861,0.989555415,0.988505296,0.988505296,0.959596014,0.965333187,0.965333187,0.965333187
2040,0.98293612,0.989639057,0.988987124,0.988987124,0.960028814,0.964667628,0.964667628,0.964667628
2041,0.982874556,0.989721148,0.989438699,0.989438699,0.960422651,0.963959717,0.963959717,0.963959717
2042,0.982810112,0.989801729,0.989862545,0.989862545,0.960779548,0.963205874,0.963205874,0.963205874
2043,0.982742728,0.989880841,0.990260925,0.990260925,0.961101288,0.962402088,0.962402088,0.962402088
2044,0.982672341,0.989958523,0.990635872,0.990635872,0.96138944,0.961543847,0.961543847,0.961543847
2045,0.982598883,0.990034812,0.990989217,0.990989217,0.961645376,0.960626059,0.960626059,0.960626059
2046,0.982522283,0.990109745,0.991322614,0.991322614,0.961870291,0.959642961,0.959642961,0.959642961
2047,0.982442467,0.990183357,0.991637558,0.991637558,0.962065215,0.958588,0.958588,0.958588
2048,0.982359355,0.990255681,0.991935405,0.991935405,0.962231025,0.957453695,0.957453695,0.957453695
2049,0.982272863,0.99032675,0.992217389,0.992217389,0.962368458,0.95623147,0.95623147,0.95623147
2050,0.982182905,0.990396596,0.99248463,0.99248463,0.962478118,0.954911444,0.954911444,0.954911444
