year,gas,biomass,coal,lignite,oil,H2
2019,31.5,26.38,8.73,3.2,46.4,172.8453254
2020,31.5,26.38,8.73,3.2,46.4,172.8453254
2021,32.34,26.528,8.864,3.24,48.98,168.3231228
2022,33.18,26.676,8.998,3.28,51.56,163.8009202
2023,34.02,26.824,9.132,3.32,54.14,159.2787176
2024,34.86,26.972,9.266,3.36,56.72,154.756515
2025,35.7,27.12,9.4,3.4,59.3,150.2343124
2026,36.52,27.268,9.54,3.44,61.9,145.7121098
2027,37.34,27.416,9.68,3.48,64.5,141.1899071
2028,38.16,27.564,9.82,3.52,67.1,136.6677045
2029,38.98,27.712,9.96,3.56,69.7,132.1455019
2030,39.8,27.86,10.1,3.6,72.3,127.6232993
2031,40.26,28.114,10.16,3.62,73.14,126.084412
2032,40.72,28.368,10.22,3.64,73.98,124.5455247
2033,41.18,28.622,10.28,3.66,74.82,123.0066374
2034,41.64,28.876,10.34,3.68,75.66,121.4677501
2035,42.1,29.13,10.4,3.7,76.5,119.9288627
2036,42.56,29.384,10.46,3.72,77.34,118.3899754
2037,43.02,29.638,10.52,3.74,78.18,116.8510881
2038,43.48,29.892,10.58,3.76,79.02,115.3122008
2039,43.94,30.146,10.64,3.78,79.86,113.7733135
2040,44.4,30.4,10.7,3.8,80.7,112.2344262
2041,44.84,30.654,10.78,3.82,81.54,111.1494816
2042,45.28,30.908,10.86,3.84,82.38,110.0645371
2043,45.72,31.162,10.94,3.86,83.22,108.9795926
2044,46.16,31.416,11.02,3.88,84.06,107.894648
2045,46.6,31.67,11.1,3.9,84.9,106.8097035
2046,47.06,31.924,11.16,3.92,85.72,105.7247589
2047,47.52,32.178,11.22,3.94,86.54,104.6398144
2048,47.98,32.432,11.28,3.96,87.36,103.5548698
2049,48.44,32.686,11.34,3.98,88.18,102.4699253
2050,48.9,32.94,11.4,4,89,101.3849808
2051,49.36,33.194,11.46,4.02,89.82,101.3849808
